handleId;fieldType;name;description;productImageUrl;collection;sku;ribbon;price;surcharge;visible;discountMode;discountValue;inventory;weight;productOptionName1;productOptionType1;productOptionDescription1;productOptionName2;productOptionType2;productOptionDescription2;productOptionName3;productOptionType3;productOptionDescription3;productOptionName4;productOptionType4;productOptionDescription4;productOptionName5;productOptionType5;productOptionDescription5;productOptionName6;productOptionType6;productOptionDescription6;additionalInfoTitle1;additionalInfoDescription1;additionalInfoTitle2;additionalInfoDescription2;additionalInfoTitle3;additionalInfoDescription3;additionalInfoTitle4;additionalInfoDescription4;additionalInfoTitle5;additionalInfoDescription5;additionalInfoTitle6;additionalInfoDescription6;customTextField1;customTextCharLimit1;customTextMandatory1
Product_1;Product;Quinta Foz de Arouce Vinho Regional Blanc 2016;;;"Beiras;2016;João Portugal Ramos;Blanc";BEI-JPR-FOZAROUCE-B-2016;;21.50;;TRUE;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_2;Product;Quinta Foz de Arouce Vinhas Velhas Santa Maria Rouge 2011;;;"Beiras;2011;João Portugal Ramos;Rouge";BEI-JPR-FOZAROUCEVVELHAS-T-2011;;45.50;;TRUE;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_3;Product;Quinta Foz de Arouce Vinho Regional Rouge 2013;;;"Beiras;2013;João Portugal Ramos;Rouge";BEI-JPR-FOZAROUCE-T-2013;;16.80;;TRUE;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_4;Product;Pouca Roupa Rouge 2017;;;"Alentejo;2017;João Portugal Ramos;Rouge";ALT-JPR-POUCAROUPA-T-2017;;10.00;;TRUE;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_5;Product;Vila Santa Reserva Blanc 2012;;;"Alentejo;2012;João Portugal Ramos;Blanc";ALT-JPR-VILASANTA-B-2012;;17.90;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_6;Product;Vila Santa Reserva Blanc 2017;;;"Alentejo;2017;João Portugal Ramos;Blanc";ALT-JPR-VILASANTA-B-2017;;17.90;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_7;Product;Vila Santa Reserva Rouge 2015;;;"Alentejo;2015;João Portugal Ramos;Rouge";ALT-JPR-VILASANTA-T-2015;;18.50;;TRUE;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_8;Product;Marquês de Borba Vinhas Velhas Rouge 2016;;;"Alentejo;2016;João Portugal Ramos;Rouge";ALT-JPR-MARQUESBORB-T-2016;;44.50;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_9;Product;Marquês de Borba Vinhas Velhas Blanc 2017;;;"Alentejo;2017;João Portugal Ramos;Blanc";ALT-JPR-MARQUESBORB-B-2017;;18.80;;TRUE;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_10;Product;Duorum Colheita Blanc 2017;;;"Douro;2017;João Portugal Ramos;Blanc";DOU-JPR-DUORUM-B-2017;;17.00;;TRUE;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_11;Product;Duorum Colheita Rouge 2015;;;"Douro;2015;João Portugal Ramos;Rouge";DOU-JPR-DUORUM-T-2015;;18.00;;TRUE;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_12;Product;Duorum Colheita Rouge 2016;;;"Douro;2016;João Portugal Ramos;Rouge";DOU-JPR-DUORUM-T-2016;;18.00;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_13;Product;Duorum Reserva Vinhas Velhas Rouge 2015;;;"Douro;2015;João Portugal Ramos;Rouge";DOU-JPR-DUORUMVVELHAS-T-2015;;32.00;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_14;Product;Duorum Vintage Vinha de Castelo Melhor Port 2010;;;"Douro;2010;João Portugal Ramos;Port/Liquoreux";DOU-JPR-DUORUMPORTCASTELO-P-2010;;37.50;;TRUE;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_15;Product;Duorum Vintage Port 2011;;;"Douro;2011;João Portugal Ramos;Port/Liquoreux";DOU-JPR-DUORUMPORT-P-2011;;94.60;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
