handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
Product_1,Product,"Arte de pared ""White STained Glass Floral Art"" de Designart",<p>Arte de pared de metal de forma circular con diseño floral de marca Designart 'White Stained Glass Floral Art'</p>,860f32_931659c9437640a496f1785cbe0c4fbb~mv2.jpg;860f32_2f91fe6dd77c4528b1e03f26264455fe~mv2.jpg,Decoracion;Decoración,20840661-000-001,,0.00,,FALSO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_2,Product,Andador auxiliar,Andador plegable de Medline para la concientización sobre el cáncer de mama,860f32_c54c20e8a5404433a3928333ec1c3524~mv2.jpg;860f32_55e16600c78f4471b3eda7a1705e4d29~mv2.jpg;860f32_42c7ca9bf7784cdabb686ba082c0989f~mv2.jpg;860f32_5788add7e0cc4452b900026fb7e3aec8~mv2.jpg;860f32_128d7b65a25d4116a965c5d46f1c018c~mv2.jpg,Varios,10776556-000-000,,120.67,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_3,Product,Closet,"<p>Armario con 4 cajones color gris marca Stick &amp; Bolton</p><table>	<tbody>		<tr>			<td>Estilo</td>			<td>Modern &amp; Contemporary</td>		</tr>		<tr>			<td>Material</td>			<td>Madera Rubberwood</td>		</tr>		<tr>			<td>Montaje</td>			<td>Requiere montaje</td>		</tr>		<tr>			<td>Caracteristicas del Producto</td>			<td>Includes Hardware</td>		</tr>		<tr>			<td>Color</td>			<td>Gris</td>		</tr>		<tr>			<td>Tipo de Cómoda</td>			<td>Armarios</td>		</tr>	</tbody></table><table></table><table>	<tbody>		<tr>			<td>Dimensions</td>			<td>72.05 inches high x 45.12 inches wide x 25.87 inches deep</td>		</tr>		<tr>			<td>Model Number</td>			<td>10343307</td>		</tr>		<tr>			<td>Country of Origin</td>			<td>Malaysia</td>		</tr>	</tbody></table>",860f32_2830533bfe0846ef98e254f69c376e42~mv2.jpg;860f32_82fce351d839416ead1625c63cbf9516~mv2.jpg;860f32_973073756d7842348e12dc5b79ba8ccf~mv2.jpg;860f32_da65aba845384dafb71d9d2e4db81666~mv2.jpg,Muebles,11082643-000-000,,0.00,,FALSO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_4,Product,Juego de comedor Nova de iNSPIRE Q Classic,"<p>Juego de comedor Nova de 3 piezas de altura de mostrador de cocina de iNSPIRE Q Classic</p><table>	<tbody>		<tr>			<td>Estilo</td>			<td>Modern &amp; Contemporary</td>		</tr>		<tr>			<td>Material</td>			<td>Chapa Madera Tapizado</td>		</tr>		<tr>			<td>Acabado</td>			<td>Acabado blanco Acabado negro Cherry Finish Espresso Finish</td>		</tr>		<tr>			<td>Montaje</td>			<td>Requiere montaje</td>		</tr>		<tr>			<td>Altura de Respaldo de la Silla</td>			<td>Escotado por detrás</td>		</tr>		<tr>			<td>Base Type</td>			<td>Sled</td>		</tr>		<tr>			<td>Caracteristicas del Producto</td>			<td>Bench Seating</td>		</tr>		<tr>			<td>Chair Back Style</td>			<td>Open</td>		</tr>		<tr>			<td>Chair Material</td>			<td>Veneer Wood</td>		</tr>		<tr>			<td>Color</td>			<td>Blanco Marrón Negro Rojo</td>		</tr>		<tr>			<td>Expandable</td>			<td>Fixed</td>		</tr>		<tr>			<td>Forma</td>			<td>Rectangular</td>		</tr>		<tr>			<td>Seats Up To</td>			<td>2 3</td>		</tr>		<tr>			<td>Table Frame Material</td>			<td>Wood</td>		</tr>		<tr>			<td>Table Height</td>			<td>Counter Height</td>		</tr>		<tr>			<td>Table Top Material</td>			<td>			<p>Wood</p>			</td>		</tr>	</tbody></table><p>&nbsp;</p><p>Caracteristicas:<br>Incluye una (1) mesa de comedor de altura de mostrador con dos (2) banquetas de altura de mostrador<br>Madera de caucho con vinilo y espuma.<br>Opciones de acabado: negro, cerezo, espresso, blanco.<br>Perfecto para espacios de comedor más pequeños</p><p>Dimensiones:<br>Dimensiones de la mesa: 32 pulgadas de ancho x 24 pulgadas de largo x 34 pulgadas de alto<br>Dimensiones del taburete: 19 pulgadas de ancho x 13 pulgadas de largo x 24 pulgadas de alto</p>",860f32_7141f762c8af43d39d99115bbcbf885f~mv2.jpg;860f32_ed04b19814154d0dab0c68e42d153f58~mv2.jpg;860f32_a9946abe2603479eb1780d45731c3fb4~mv2.jpg;860f32_b2b8dfa83b0848b19a442a3240b0f81f~mv2.jpg;860f32_1ecb86d36dc04fc5a0ea31074d0b969e~mv2.jpg,Muebles,12080910-000-002,,136.11,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_5,Product,Caja de consola de escalera A -,Caja de consola de escalera A -,,Muebles,12096958-000-000,,0.00,,FALSO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_6,Product,Taburete de bar Verona de iNSPIRE Q Classic,"Verona Cherry Swivel - Taburete alto con altura de respaldo de 24 ""de iNSPIRE Q Classic",860f32_854de3dd96174bdc990d4b886c430b1e~mv2.jpg;860f32_d8e0898e9086472f98bda08348d7d18d~mv2.jpg;860f32_321154fab0e64a0f952b7a5e630b306f~mv2.jpg;860f32_cf2c62e84c31415285f08f64f473100b~mv2.jpg,Muebles,12112311-000-003,,90.74,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7,Product,Taburete de bar de Gracewood Hollow,Taburetes giratorios de 24 pulgadas Gracewood Hollow Chase (juego de 2),860f32_d77207f9f7384f8d8a6be83ef3eace9d~mv2.jpg;860f32_d2cacdbfa070497f9cc31eb93d465029~mv2.jpg;860f32_dcf7c08bec944b3d96fa1c108f423ac7~mv2.jpg;860f32_6f80a13c3c4f40e9b9e8312ec0137736~mv2.jpg,Muebles,12193524-000-000,,164.99,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_8,Product,Juego de comedor 5 piezas de Porch & Den,Juego de comedor de 5 piezas Porch &amp; Den Greenfield,860f32_4eb92e5bcf82419690f0bbac9d59118c~mv2.jpg;860f32_6ec60a5cacc14baa9190c6d9fc2ae16e~mv2.jpg;860f32_7db4b1c88a574dc0a5fb777d8c3c314c~mv2.jpg;860f32_8142feac1b6b4b1d8eaf5f56e30e8e0a~mv2.jpg,Muebles,12597921-000-000,,189.74,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9,Product,Escritorio para computadora de Porch & Den,"<p>Escritorio para computadora Porch &amp; Den Florica, color Negro</p>",860f32_08956bf9157d46b0b4684d5629ac1481~mv2.jpg;860f32_6ac7e9143a2f4559839dac3a19cc0445~mv2.jpg;860f32_e55e5849b2874021b7f7c5698ce0e227~mv2.jpg;860f32_ec84ce4913b141bbb7cee8e27be4816d~mv2.jpg,Muebles,12600986-000-001,,49.49,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_10,Product,Taburete Back de iNSPIRE Q Bold,Taburete sin respaldo de 18 pulgadas de Salvador Saddle Back (juego de 2) de iNSPIRE Q Bold,860f32_96c0f6dfcea44a19ae8a8357ecc7448f~mv2.jpg;860f32_c6c535481a58414597dadf346c90d556~mv2.jpg;860f32_4ba3d66a5fa944bca7ef9effc818d676~mv2.jpg;860f32_779e393b0125439b98c260215595954b~mv2.jpg,Muebles,12960332-000-007,,57.74,,VERDADERO,PERCENT,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
