handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
FY24WY19,Product,Adriano Zumbo Brownie Mix Chocolate 600g,,https://cdn1.woolworths.media/content/wowproductimages/medium/741442.jpg,Pantry;Baking,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM46FB89,Product,Aeroplane Chocolate Mousse Mix 65g,,https://cdn1.woolworths.media/content/wowproductimages/medium/661997.jpg,Pantry;Baking,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID53UN88,Product,Aeroplane Dessert Mix Chocolate 100g,,https://cdn1.woolworths.media/content/wowproductimages/medium/583766.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG53OE83,Product,Aeroplane Dessert Mix Vanilla 100g,,https://cdn1.woolworths.media/content/wowproductimages/medium/583774.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE51ES29,Product,Aeroplane Jelly Berry Blue 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006086.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF78AV48,Product,Aeroplane Jelly Lite Cranberry & Raspberry 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/348800.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JF47UL57,Product,Aeroplane Jelly Lite Lime 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/005669.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZ53VU12,Product,Aeroplane Jelly Lite Mango Passionfruit 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/348802.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI69TK12,Product,Aeroplane Jelly Lite Orange Mango 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/005678.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB99WQ50,Product,Aeroplane Jelly Lite Pineapple 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/172715.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC31HW67,Product,Aeroplane Jelly Lite Port Wine 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/105926.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZX51VL65,Product,Aeroplane Jelly Lite Raspberry 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/036721.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH74SZ97,Product,Aeroplane Jelly Lite Strawberry 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/005665.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD32MM37,Product,Aeroplane Jelly Lite Twin Lemon 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/754480.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZY94YX46,Product,Aeroplane Jelly Lite Vanilla Berry 2x9g,,https://cdn1.woolworths.media/content/wowproductimages/medium/380903.jpg,Pantry;Baking,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB18BZ39,Product,Aeroplane Jelly Naturals Blackcurrant 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/754525.jpg,Pantry;Baking,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE45OP71,Product,Aeroplane Jelly Orange Mango 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/754526.jpg,Pantry;Baking,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR54KV19,Product,Aeroplane Jelly Original Lemon 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/310378.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QL26JS68,Product,Aeroplane Jelly Original Lime 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006092.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB40BJ14,Product,Aeroplane Jelly Original Mango 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/059407.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF30EC12,Product,Aeroplane Jelly Original Orange 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006081.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM37RI41,Product,Aeroplane Jelly Original Port Wine 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006082.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL36HS37,Product,Aeroplane Jelly Original Raspberry 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006094.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
